C00629618|N|TER|P|201701230300133512|15C|IND|PEREZ, JOHN A|LOS ANGELES|CA|90017|PRINCIPAL|DOUBLE NICKEL ADVISORS|1032017|40|H6CA34245|SA01251735122|1141239|||2012520171368850783
C00468289|N|M215|P|201702039042411107|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7952751705|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|252017|883070||PR2283904845263|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029552
C00307661|N|M216|P|201702039042411108|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6401180959|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|873621||PR2283904845264|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029553
C00759657|N|M217|P|201702039042411109|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9468038222|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|342017|830781||PR2283904845265|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029554
C00684488|N|M218|P|201702039042411110|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8088456851|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|222017|776380||PR2283904845266|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029555
C00408612|N|M219|P|201702039042411111|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4122476160|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|302017|343446||PR2283904845267|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029556
C00153061|N|M220|P|201702039042411112|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4463892802|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|392017|297978||PR2283904845268|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029557
C00644445|N|M221|P|201702039042411113|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5377766669|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|192017|725771||PR2283904845269|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029558
C00153061|N|M222|P|201702039042411114|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3859343815|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|412017|91279||PR2283904845270|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029559
C00460053|N|M223|P|201702039042411115|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6139050929|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|318307||PR2283904845271|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029560
C00408612|N|M224|P|201702039042411116|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2450576887|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|202017|113269||PR2283904845272|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029561
C00759657|N|M225|P|201702039042411117|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8997309093|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|382017|874575||PR2283904845273|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029562
C00408612|N|M226|P|201702039042411118|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8751214914|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|222017|148419||PR2283904845274|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029563
C00153061|N|M227|P|201702039042411119|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6539262782|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|112017|250670||PR2283904845275|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029564
C00460053|N|M228|P|201702039042411120|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7553139691|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|122017|36657||PR2283904845276|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029565
C00307661|N|M229|P|201702039042411121|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3503796693|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|72017|732027||PR2283904845277|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029566
C00408612|N|M230|P|201702039042411122|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9642513864|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|342017|768066||PR2283904845278|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029567
C00177436|N|M231|P|201702039042411123|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3370552847|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|816985||PR2283904845279|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029568
C00629618|N|M232|P|201702039042411124|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2850522658|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|172017|24823||PR2283904845280|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029569
C00177436|N|M233|P|201702039042411125|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8908555529|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|362017|168613||PR2283904845281|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029570
C00663469|N|M234|P|201702039042411126|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1305434473|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|52017|765819||PR2283904845282|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029571
C00516557|N|M235|P|201702039042411127|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1683575028|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|182017|536748||PR2283904845283|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029572
C00727373|N|M236|P|201702039042411128|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9359771447|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|292017|448736||PR2283904845284|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029573
C00727373|N|M237|P|201702039042411129|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7695844990|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|342017|27531||PR2283904845285|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029574
C00153061|N|M238|P|201702039042411130|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7823815289|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|242017|464978||PR2283904845286|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029575
C00384818|N|M239|P|201702039042411131|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1650489420|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|102017|178310||PR2283904845287|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029576
C00184757|N|M240|P|201702039042411132|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5628569924|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|302017|181400||PR2283904845288|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029577
C00151609|N|M241|P|201702039042411133|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8086478191|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|122017|886622||PR2283904845289|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029578
C00258498|N|M242|P|201702039042411134|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4681879317|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|604899||PR2283904845290|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029579
C00153061|N|M243|P|201702039042411135|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4226009113|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|22017|582186||PR2283904845291|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029580
C00184757|N|M244|P|201702039042411136|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8815773807|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|372017|436926||PR2283904845292|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029581
C00184757|N|M245|P|201702039042411137|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3250840686|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|242017|844232||PR2283904845293|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029582
C00468289|N|M246|P|201702039042411138|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5729184960|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|172017|99422||PR2283904845294|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029583
C00644445|N|M247|P|201702039042411139|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2348365251|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|410867||PR2283904845295|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029584
C00684488|N|M248|P|201702039042411140|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9615292216|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|372017|985406||PR2283904845296|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029585
C00151609|N|M249|P|201702039042411141|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2656744506|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|645141||PR2283904845297|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029586
C00177436|N|M250|P|201702039042411142|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9667173768|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|372017|619936||PR2283904845298|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029587
C00153061|N|M251|P|201702039042411143|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6819851180|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|302017|690584||PR2283904845299|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029588
C00307661|N|M252|P|201702039042411144|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8348817103|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|382017|872967||PR2283904845300|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029589
C00151609|N|M253|P|201702039042411145|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8661676282|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|928496||PR2283904845301|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029590
C00258498|N|M254|P|201702039042411146|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2704150445|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|716926||PR2283904845302|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029591
C00151609|N|M255|P|201702039042411147|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1211836749|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|222017|835664||PR2283904845303|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029592
C00408612|N|M256|P|201702039042411148|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1086495737|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|999977||PR2283904845304|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029593
C00159964|N|M257|P|201702039042411149|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7445136186|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|302017|814288||PR2283904845305|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029594
C00629618|N|M258|P|201702039042411150|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7590193585|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|242017|151841||PR2283904845306|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029595
C00159964|N|M259|P|201702039042411151|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9406438170|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|192017|140073||PR2283904845307|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029596
C00159964|N|M260|P|201702039042411152|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2750112818|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|222017|852812||PR2283904845308|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029597
C00727373|N|M261|P|201702039042411153|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8425627088|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|392017|448207||PR2283904845309|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029598
C00490358|N|M262|P|201702039042411154|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4370609779|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|162017|287896||PR2283904845310|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029599
C00516557|N|M263|P|201702039042411155|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2717558358|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|72017|483422||PR2283904845311|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029600
C00151609|N|M264|P|201702039042411156|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8811734912|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|212017|345670||PR2283904845312|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029601
C00129747|N|M265|P|201702039042411157|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|418341884|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|152017|496785||PR2283904845313|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029602
C00151609|N|M266|P|201702039042411158|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4885544587|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|352017|783903||PR2283904845314|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029603
C00408612|N|M267|P|201702039042411159|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|925963744|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|232017|230173||PR2283904845315|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029604
C00663469|N|M268|P|201702039042411160|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8421258218|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|182017|108848||PR2283904845316|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029605
C00129747|N|M269|P|201702039042411161|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5963122810|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|322017|925569||PR2283904845317|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029606
C00129747|N|M270|P|201702039042411162|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1295874591|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|449508||PR2283904845318|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029607
C00759657|N|M271|P|201702039042411163|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3018866209|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|302017|964||PR2283904845319|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029608
C00159964|N|M272|P|201702039042411164|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9579663351|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|342017|658493||PR2283904845320|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029609
C00629618|N|M273|P|201702039042411165|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7488988398|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|182017|702616||PR2283904845321|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029610
C00177436|N|M274|P|201702039042411166|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8729459071|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|252017|953215||PR2283904845322|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029611
C00644445|N|M275|P|201702039042411167|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8941423011|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|252017|163922||PR2283904845323|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029612
C00727373|N|M276|P|201702039042411168|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1320512881|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|192017|700254||PR2283904845324|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029613
C00460053|N|M277|P|201702039042411169|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|279883037|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|222017|347945||PR2283904845325|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029614
C00516557|N|M278|P|201702039042411170|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3519204600|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|82017|126316||PR2283904845326|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029615
C00759657|N|M279|P|201702039042411171|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3248041784|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|531539||PR2283904845327|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029616
C00684488|N|M280|P|201702039042411172|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8770203835|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|222017|355366||PR2283904845328|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029617
C00384818|N|M281|P|201702039042411173|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7568045519|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|92017|496634||PR2283904845329|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029618
C00629618|N|M282|P|201702039042411174|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1443401841|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|342017|876377||PR2283904845330|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029619
C00159964|N|M283|P|201702039042411175|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5183722039|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|162017|855105||PR2283904845331|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029620
C00151609|N|M284|P|201702039042411176|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4428579703|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|422017|352596||PR2283904845332|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029621
C00408612|N|M285|P|201702039042411177|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2505110029|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|192017|859077||PR2283904845333|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029622
C00759657|N|M286|P|201702039042411178|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4881265640|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|213184||PR2283904845334|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029623
C00460053|N|M287|P|201702039042411179|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7431019696|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|252017|283924||PR2283904845335|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029624
C00384818|N|M288|P|201702039042411180|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3044148979|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|322017|203116||PR2283904845336|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029625
C00184757|N|M289|P|201702039042411181|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|247071516|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|222017|146485||PR2283904845337|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029626
C00307661|N|M290|P|201702039042411182|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3860602493|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|262017|598047||PR2283904845338|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029627
C00629618|N|M291|P|201702039042411183|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7525425476|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|445||PR2283904845339|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029628
C00153061|N|M292|P|201702039042411184|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8054517932|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|152017|67739||PR2283904845340|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029629
C00307661|N|M293|P|201702039042411185|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|938644593|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|362017|683038||PR2283904845341|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029630
C00177436|N|M294|P|201702039042411186|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3601702965|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|754126||PR2283904845342|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029631
C00151609|N|M295|P|201702039042411187|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1772353038|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|755163||PR2283904845343|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029632
C00159964|N|M296|P|201702039042411188|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4720319637|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|292017|437091||PR2283904845344|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029633
C00129747|N|M297|P|201702039042411189|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|993350038|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|232017|548167||PR2283904845345|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029634
C00153061|N|M298|P|201702039042411190|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|351049039|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|172017|220966||PR2283904845346|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029635
C00258498|N|M299|P|201702039042411191|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1391327058|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|202017|6589||PR2283904845347|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029636
C00408612|N|M300|P|201702039042411192|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8801816480|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|262017|875186||PR2283904845348|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029637
C00684488|N|M301|P|201702039042411193|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5739766197|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|183250||PR2283904845349|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029638
C00759657|N|M302|P|201702039042411194|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8050210029|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|32017|300649||PR2283904845350|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029639
C00307661|N|M303|P|201702039042411195|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4568159552|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|821760||PR2283904845351|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029640
C00727373|N|M304|P|201702039042411196|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9910716134|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|212017|925484||PR2283904845352|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029641
C00490358|N|M305|P|201702039042411197|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1240690028|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|322017|456598||PR2283904845353|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029642
C00151609|N|M306|P|201702039042411198|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|699983710|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|252017|626023||PR2283904845354|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029643
C00258498|N|M307|P|201702039042411199|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6113337499|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|92017|611735||PR2283904845355|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029644
C00184757|N|M308|P|201702039042411200|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5515101201|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|362017|845917||PR2283904845356|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029645
C00468289|N|M309|P|201702039042411201|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6890616251|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|208918||PR2283904845357|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029646
C00408612|N|M310|P|201702039042411202|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9156422874|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|372017|383193||PR2283904845358|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029647
C00468289|N|M311|P|201702039042411203|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8505040244|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|342017|164198||PR2283904845359|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029648
C00177436|N|M312|P|201702039042411204|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4983876693|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|102017|125474||PR2283904845360|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029649
C00727373|N|M313|P|201702039042411205|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3258596323|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|272017|298504||PR2283904845361|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029650
C00307661|N|M314|P|201702039042411206|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6535443179|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|52017|240972||PR2283904845362|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029651
C00159964|N|M315|P|201702039042411207|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4237774882|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|262017|291744||PR2283904845363|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029652
C00129747|N|M316|P|201702039042411208|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3027737042|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|739850||PR2283904845364|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029653
